file,work_time,runtime,optimum
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed2030.out,77.65,34.26,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed2463.out,76.74,35.36,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed2549.out,76.55,34.31,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed3406.out,229.05,92.19,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed4638.out,78.10,36.70,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed6426.out,29.86,17.19,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed6534.out,134.78,60.70,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed8384.out,60.32,30.82,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed8501.out,248.23,103.74,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed1498.out,3.86,2.82,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed1620.out,6.28,3.77,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed3688.out,56.63,30.24,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed5259.out,2.64,2.21,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed6816.out,4.80,3.16,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed7023.out,52.96,23.57,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed7289.out,42.37,20.17,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed9057.out,2.80,2.25,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed9442.out,4.63,3.07,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_separate__seed9952.out,26.16,12.41,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed1256.out,65.86,34.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed1481.out,56.17,25.42,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed1737.out,32.22,18.79,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed3405.out,70.82,35.46,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed3564.out,33.15,18.09,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed4253.out,39.56,20.18,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed4629.out,68.37,34.12,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed5041.out,31.47,16.78,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed6324.out,33.99,18.12,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_x__seed8463.out,60.86,32.94,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed2995.out,27.50,14.48,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed4945.out,83.76,38.07,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed5008.out,55.98,28.28,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed5616.out,36.78,19.92,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed7210.out,45.91,24.25,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed7700.out,37.12,19.49,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed8455.out,44.27,21.11,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__many_vars_few_perms_linear_y__seed8673.out,37.95,20.55,5.000000000000e+02
